Local Authority Code,Local Authority Name,NGA Availability (% premises) by Local Authority,SFBB Availability (% premises) by Local Authority,UFBB Availability (% premises) by Local Authority,Take-up of lines < 2 Mbit/s (number of lines) by Local Authority,Take-up of Lines 2-5 Mbit/s (number of lines) by Local Authority,Take-up of Lines 5-10 Mbit/s (number of lines) by Local Authority,Take-up of Lines 10-30 Mbit/s (number of lines) by Local Authority,Take-up of lines > 30 Mbit/s (number of lines) by Local Authority,Take-up of lines > 300 Mbit/s (number of lines) by Local Authority,Average data downloaded by Local Authority (GB),Average data uploaded by Local Authority (GB),Average download speed (Mbit/s) by Local Authority,Median download speed (Mbit/s) by Local Authority,Minimum download speed (Mbit/s) by Local Authority,Maximum download speed (Mbit/s) by Local Authority,Average download speed (Mbit/s) for NGA lines by Local Authority,Average download speed (Mbit/s) for non-NGA lines by Local Authority,Average download speed (Mbit/s) for Superfast BB lines by Local Authority,Average download speed (Mbit/s) for Ultrafast BB lines by Local Authority,Average download speed (Mbit/s) for basic BB (non-SF) lines by Local Authority,Average upload speed (Mbit/s) by Local Authority,Median upload speed (Mbit/s) by Local Authority,Minimum upload speed (Mbit/s) by Local Authority ,Maximum upload speed (Mbit/s) by Local Authority ,Average upload speed (Mbit/s) for NGA lines by Local Authority ,Average upload speed (Mbit/s) for non-NGA lines by Local Authority ,Average upload speed (Mbit/s) for Superfast BB lines by Local Authority ,Average upload speed (Mbit/s) for Ultrafast BB lines by Local Authority ,Average upload speed (Mbit/s) for basic BB (non-SF) lines by Local Authority ,% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s
00-MB,West Berkshire,81,72,0,3089,7069,12421,17772,17309,<4,65.1,9.4,26.1,15,0.1,330,56.4,10.1,62.4,<4,10.5,3.6,1.1,0,30,8.6,0.9,9.4,<4,1.1,2,7,16
00-MC,Reading ,95,94,1,1146,4002,8957,16922,27498,,89.2,13.2,37.9,21.7,0.2,152,62.9,11.1,67.3,,11.8,4.1,2,0,20,7,1,7.4,,1.1,0,1,1
00-MD,Slough ,97,95,0,2787,4695,8439,9358,18477,,83.4,12.4,32.6,17.2,0.2,152,61.8,8.9,64.5,,9.2,4,1.3,0.1,20,7.6,1,7.9,,1,0,0,2
00-ME,Windsor and Maidenhead ,94,86,1,2638,7361,9342,13000,21471,6,61.8,10.3,29.6,18.2,0.2,330,53.4,9.1,59.3,330,10,4.7,1.3,0,30,8.9,0.9,9.9,30,1.2,1,2,3
00-MF,Wokingham ,95,87,0,2245,5678,8621,15148,26765,9,67.4,10.1,35.2,21.2,0.2,330,58,9.9,63.8,330,10.9,4.8,2,0,30,8.2,1,9,30,1.2,0,1,4
00-MG,Milton Keynes ,94,74,13,6687,18117,16939,21524,30047,96,79.4,13.2,23.9,13.2,0.1,330,52.5,8.5,55.4,330,8.9,4.7,1.1,0,30,11.7,0.9,12.4,30,1,0,2,5
00-ML,The City of Brighton and Hove ,97,95,1,2285,6330,15447,28080,55999,,82.1,12.8,41.7,30,0.1,152,65,11.1,69.5,,11.7,4.3,2,0,20,6.9,1,7.3,,1.1,0,0,1
00-MR,City of Portsmouth ,96,96,0,1583,6316,10289,15544,38277,,80.5,10.7,43.4,30,0.1,152,67.8,9.9,72.2,,10.7,4.1,2,0,20,6.3,1,6.7,,1.1,0,1,2
00-MS,City of Southampton ,94,91,2,1580,6627,17367,23898,33491,,82.3,11.5,34.8,18.1,0.2,152,66.7,10.7,69.9,,11,3.6,1.3,0,80,7.1,1,7.4,,1.1,0,0,1
00-MW,Isle of Wight,93,82,0,2331,4827,11711,21955,9246,,64.9,9.4,18.8,14.3,0.1,80,44.1,11.7,49.2,,11.9,3,1.1,0,80,10.1,1,11.3,,1.1,1,2,6
00-NA,Sir Ynys Mon - Isle of Anglesey,91,65,14,2081,3583,6122,7992,4876,,57.2,8.4,17.7,11.4,0.2,220,42.5,9.7,48.2,,10.2,3.2,1,0,20,9.8,0.8,11.3,,1,2,5,9
00-NC,Gwynedd - Gwynedd,93,65,15,3522,5558,12013,10199,9353,,59,8.6,18.4,8.6,0.1,80,43.2,8.9,48.5,,9.4,3.6,1,0,20,9.9,0.8,11.2,,1,3,5,11
00-NE,Conwy - Conwy,75,59,3,2974,6686,11823,16625,3161,,62.6,8.3,13.3,9.4,0.2,80,45.5,10.4,49.2,,10.3,1.8,1,0,20,10.8,0.9,11.6,,1,1,5,16
00-NG,Sir Ddinbych - Denbighshire,92,74,10,2051,4583,8761,13351,5102,,61.7,9.3,16.5,11.9,0.1,80,44.7,10.7,48.6,,10.8,2.6,1,0.1,20,10.3,0.9,11.2,,1,2,4,8
00-NJ,Sir y Fflint - Flintshire,96,78,8,3888,9471,13286,13302,13332,,63.6,9.8,18.7,10,0.1,220,43.7,8.5,47.8,,9,3.5,1,0,20,9.7,0.9,10.7,,1,1,3,5
